Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
5469,Metal,5VYcGJLKYHvrTD3MUzQkR6,44,0.519,0.9,3,-4.533,0.0753,0.00117,0.0,0.36,0.39799999999999996,116.81299999999999,4,False
5630,Metal,1aWjCUq4KU7wCdQ2AuGeB7,53,0.41,0.888,2,-4.966,0.0744,0.0005059999999999999,0.0155,0.10800000000000001,0.231,159.91899999999995,4,False
5699,Metal,77gY3WsOnEsq9JOWgBmdLj,39,0.511,0.972,10,-3.7510000000000003,0.0413,5e-06,0.00101,0.19,0.531,132.97,4,False
6104,Metal,3EKjTDAEIdyQqsA9qtb5P2,60,0.563,0.924,2,-5.567,0.0734,0.00156,1e-06,0.0468,0.555,90.928,4,False
5949,Metal,6BPYma2trcXgQcmtS36VaF,25,0.275,0.9159999999999999,6,-5.223,0.153,4.3e-05,0.0377,0.0448,0.258,66.43,4,False
6054,Metal,1vKwCrbb0cgm56zrIa4WJq,1,0.485,0.7390000000000001,4,-6.501,0.0279,0.00267,0.0014199999999999998,0.251,0.0648,96.979,4,False
5538,Metal,5vNWJlxB2v8t83iUVTshmD,36,0.536,0.986,7,-4.211,0.14800000000000002,0.00015900000000000002,0.000399,0.436,0.363,119.992,4,False
5454,Metal,2Sl9U6mLbNeaE9lT9C32Td,47,0.16,0.982,0,-2.715,0.0761,3e-06,0.847,0.0996,0.187,83.458,4,False
6173,Metal,5oqlIOeXt7yDDO1yA0mhQI,36,0.382,0.9520000000000001,9,-6.702999999999999,0.083,3e-06,0.7020000000000001,0.138,0.12300000000000001,134.994,4,False
5886,Metal,2qv6LjzAS5vMzHmygOMl1C,42,0.395,0.871,5,-4.082,0.0445,0.0506,0.000582,0.122,0.139,87.90299999999998,4,False
5637,Metal,0j4jLhEdtTYKrM5R3Iu1qF,0,0.19899999999999998,0.413,5,-6.226,0.0292,0.67,0.00101,0.138,0.222,91.69200000000001,4,False
5386,Metal,5lPYl2vC95uq8yo0vWPvCZ,44,0.462,0.941,6,-4.34,0.0869,7e-05,0.000599,0.151,0.555,130.119,4,False
5589,Metal,4YhSKBLzwCHt26wvDUsVTz,42,0.418,0.905,5,-6.181,0.0746,0.000239,0.13,0.0413,0.254,179.99400000000003,3,False
6285,Metal,5qFxuUIAwJlzO60vqOiL7y,64,0.508,0.912,9,-8.049,0.0368,7.099999999999999e-05,0.40299999999999997,0.0492,0.649,117.58200000000001,4,False
