Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
942,Electronic/Dance,5rV7GRSaLDrBBK4pu9la8h,45,0.565,0.9790000000000001,5,-1.5859999999999999,0.0424,0.00044500000000000003,0.0849,0.20600000000000002,0.376,160.001,4,False
1405,Electronic/Dance,6RxxunHQUOtYojwJGDLB51,55,0.705,0.55,7,-6.468999999999999,0.0355,0.115,0.0,0.149,0.46399999999999997,114.992,4,False
1406,Electronic/Dance,59MtZbWXAYMGoJ5rIeThn6,45,0.672,0.785,8,-4.473,0.0346,0.00233,0.127,0.111,0.35200000000000004,122.999,4,False
1132,Electronic/Dance,7BevlwX7fJEApzSJRGbPQ1,1,0.46799999999999997,0.941,1,-0.823,0.34600000000000003,0.0601,0.0,0.0774,0.746,171.827,4,False
907,Electronic/Dance,6SDdaZBW69QFZUgpzyPK46,51,0.65,0.337,5,-11.185,0.153,0.278,0.9079999999999999,0.0846,0.17,119.867,4,False
1329,Electronic/Dance,7uThJgXBvoLf7ajaj1D4Fa,55,0.569,0.8959999999999999,1,-3.114,0.0489,0.0033799999999999998,0.958,0.0633,0.113,128.083,4,False
763,Electronic/Dance,6hVmci2ABCIKIHg9rTlhSY,27,0.772,0.8370000000000001,7,-6.872000000000001,0.35700000000000004,0.016,0.565,0.174,0.491,124.948,4,False
1064,Electronic/Dance,1C8pXrwcfP3imiuMVcmwJH,0,0.642,0.727,6,-6.211,0.0422,0.0168,0.787,0.264,0.0742,127.96,4,False
1079,Electronic/Dance,5RfdGtUzvsPcIVDgH11rhZ,37,0.75,0.79,0,-8.847999999999997,0.0416,0.000277,0.0107,0.107,0.0794,117.984,4,False
1158,Electronic/Dance,1phmF6Y0ZgV9kt3EaiEy4X,46,0.524,0.9470000000000001,2,-1.845,0.0505,0.00548,0.000556,0.179,0.21899999999999997,150.012,4,False
